,brand,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
0,Maruti,9,120000,Individual,Petrol,Manual,19.7,796,46.3,5,120000
1,Hyundai,5,20000,Individual,Petrol,Manual,18.9,1197,82,5,550000
2,Hyundai,11,60000,Individual,Petrol,Manual,17,1197,80,5,215000
3,Maruti,9,37000,Individual,Petrol,Manual,20.92,998,67.1,5,226000
4,Ford,6,30000,Dealer,Diesel,Manual,22.77,1498,98.59,5,570000
5,Maruti,8,35000,Individual,Petrol,Manual,18.9,998,67.1,5,350000
6,Hyundai,8,40000,Dealer,Petrol,Manual,20.36,1197,78.9,5,315000
7,Maruti,3,17512,Dealer,Petrol,Manual,20.51,998,67.04,5,410000
8,Hyundai,2,20000,Individual,Petrol,Automatic,18.15,998,118.35,5,1050000
12,Maruti,4,28321,Dealer,Petrol,Manual,16.6,1197,85,5,511000
14,Hyundai,8,65278,Dealer,Diesel,Manual,22.32,1582,126.32,5,425000
15,Renault,5,50000,Individual,Diesel,Manual,19.64,1461,108.45,5,750000
16,Mini,4,6000,Dealer,Petrol,Automatic,14.41,1998,189.08,5,3250000
17,Maruti,5,76000,Dealer,Diesel,Manual,28.09,1248,88.5,5,650000
18,Maruti,5,20000,Individual,Diesel,Manual,25.2,1248,74,5,627000
19,Mercedes-Benz,7,65000,Dealer,Diesel,Automatic,19.27,2143,170,5,1425000
20,Maruti,7,62200,Dealer,Diesel,Manual,28.4,1248,74,5,425000
21,Toyota,8,110000,Individual,Diesel,Manual,12.99,2494,100.6,8,605000
22,Maruti,6,20000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000
23,Maruti,5,40000,Individual,Petrol,Manual,20.85,1197,83.14,5,575000
25,Volkswagen,8,47000,Dealer,Petrol,Manual,16.09,1598,103.2,5,425000
26,Maruti,8,25000,Dealer,Petrol,Manual,20.92,998,67.1,5,230000
27,Hyundai,2,15000,Individual,Diesel,Manual,19.67,1582,126.2,5,1225000
29,Honda,6,50000,Individual,Petrol,Manual,17.4,1497,117.3,5,750000
30,Mahindra,10,25000,Individual,Diesel,Manual,13.6,2523,63,7,350000
31,Maruti,6,90000,Individual,Diesel,Manual,26.59,1248,74,5,600000
32,Maruti,8,45000,Dealer,Diesel,Manual,26.59,1248,74,5,390000
33,Honda,14,77253,Dealer,Petrol,Manual,17.7,1497,78,5,145000
34,Hyundai,3,25000,Individual,Petrol,Manual,17.19,1197,81.86,5,700000
35,Toyota,8,110000,Individual,Diesel,Manual,13,2982,168.5,7,1150000
36,Renault,4,30000,Individual,Petrol,Manual,23.01,999,67,5,340000
37,Honda,5,39993,Dealer,Petrol,Manual,18.6,1199,88.76,5,465000
38,Hyundai,12,80000,Individual,Petrol,Manual,17.92,1086,62.1,5,125000
39,Mahindra,9,185000,Individual,Diesel,Manual,15.1,2179,140,7,600000
40,Maruti,8,90000,Individual,Diesel,Manual,23.4,1248,74,5,380000
44,Hyundai,3,15000,Individual,Diesel,Manual,22.54,1396,88.73,5,850000
45,Hyundai,3,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,598000
46,Honda,6,31180,Dealer,Petrol,Automatic,18,1497,117.3,5,700000
50,Maruti,7,56000,Dealer,Diesel,Manual,23.4,1248,74,5,410000
53,Maruti,5,52427,Dealer,Petrol,Automatic,21.4,1197,83.1,5,590000
54,Mahindra,1,40000,Individual,Diesel,Manual,21,1498,74.96,7,850000
56,Mahindra,3,17000,Individual,Petrol,Manual,18.15,1198,82,5,550000
58,Maruti,5,22000,Dealer,Petrol,Manual,15.4,1590,94,5,625000
59,Maruti,5,54000,Individual,Petrol,Manual,20.85,1197,83.14,5,600000
60,Maruti,2,10000,Individual,Petrol,Manual,20.51,998,67.04,5,445000
61,Maruti,2,20000,Individual,Petrol,Manual,20.89,1197,81.8,5,530000
63,Maruti,3,53237,Trustmark Dealer,CNG,Manual,26.6,998,58.16,5,410000
64,Datsun,3,27263,Individual,Petrol,Manual,22.5,999,68,5,350000
66,Hyundai,7,110000,Individual,Diesel,Manual,22.32,1582,126.3,5,520000
